Location,Ward_id,Ward,Street,Price,Metro,Distance,latitude,longitude
1,13101 ,千代田区,隼町３－１９,"2,800,000 ",半蔵門,180 ,35.68162,139.74202
2,13101 ,千代田区,大手町１－８－１,"25,100,000 ",大手町,,35.68778,139.76434
3,13101 ,千代田区,内神田１－１５－１０,"3,700,000 ",小川町,250 ,35.69196,139.76558
4,13101 ,千代田区,岩本町３－７－１３,"1,170,000 ",岩本町,240 ,35.69597,139.77777
5,13101 ,千代田区,丸の内３－３－１,"26,300,000 ",東京,480 ,35.67756,139.76265
6,13101 ,千代田区,西神田１－３－６,"3,860,000 ",水道橋,340 ,35.69972,139.75647
7,13101 ,千代田区,霞が関３－７－１,"6,750,000 ",溜池山王,270 ,35.67148,139.74477
8,13101 ,千代田区,内神田２－１１－６,"4,330,000 ",神田,320 ,35.6908,139.76736
9,13101 ,千代田区,岩本町１－３－４,"2,010,000 ",神田,500 ,35.69188,139.7757
10,13101 ,千代田区,外神田４－１－１,"11,000,000 ",秋葉原,250 ,35.69982,139.77173
11,13101 ,千代田区,外神田３－１４－９,"6,370,000 ",秋葉原,390 ,35.70113,139.77124
12,13101 ,千代田区,九段南３－２－１５,"1,850,000 ",都営市ヶ谷,520 ,35.6921,139.74287
13,13101 ,千代田区,富士見２－２－６,"2,200,000 ",飯田橋,160 ,35.69922,139.74547
14,13101 ,千代田区,飯田橋２－１０－６,"1,380,000 ",飯田橋,160 ,35.70021,139.74899
15,13102 ,中央区,日本橋本町２－６－３,"2,880,000 ",三越前,270 ,35.6876,139.77689
16,13102 ,中央区,日本橋室町１－５－３,"17,300,000 ",三越前,,35.68596,139.77446
17,13102 ,中央区,京橋２－６－１４,"2,470,000 ",京橋,120 ,35.67683,139.77045
18,13102 ,中央区,八重洲２－１０－５,"2,290,000 ",京橋,220 ,35.67604,139.76711
19,13102 ,中央区,京橋２－４－１５,"14,900,000 ",京橋,,35.67673,139.76927
20,13102 ,中央区,日本橋人形町２－２１－１０,"1,560,000 ",人形町,160 ,35.68608,139.7847
21,13102 ,中央区,八丁堀２－２１－１１,"1,750,000 ",八丁堀,100 ,35.67603,139.77724
22,13102 ,中央区,湊１－２－７,"1,110,000 ",八丁堀,250 ,35.67294,139.77893
23,13102 ,中央区,月島３－２５－３,"1,240,000 ",勝どき,500 ,35.6626,139.77774
24,13102 ,中央区,晴海３－５－１,"1,350,000 ",勝どき,560 ,35.65552,139.77983
25,13102 ,中央区,晴海５－１－９,"1,010,000 ",勝どき,900 ,35.65195,139.77342
26,13102 ,中央区,日本橋堀留町１－２－１５,"1,930,000 ",小伝馬町,400 ,35.68822,139.77887
27,13102 ,中央区,新富２－４－４,"1,870,000 ",新富町,70 ,35.67154,139.7733
28,13102 ,中央区,日本橋本町４－１－１１,"5,400,000 ",新日本橋,,35.68918,139.77393
29,13102 ,中央区,日本橋２－３－１８,"9,500,000 ",日本橋,150 ,35.68136,139.77216
30,13102 ,中央区,佃１－５－７,"873,000 ",月島,420 ,35.66776,139.78302
31,13102 ,中央区,月島３－１０－４,"2,000,000 ",月島,,35.66282,139.78203
32,13102 ,中央区,東日本橋２－２３－４,"925,000 ",東日本橋,250 ,35.69419,139.78641
33,13102 ,中央区,銀座２－１２－１４,"7,090,000 ",東銀座,120 ,35.67168,139.76935
34,13102 ,中央区,日本橋蛎殻町１－２６－６,"1,210,000 ",水天宮前,210 ,35.68209,139.78363
35,13102 ,中央区,日本橋箱崎町３５－３,"861,000 ",水天宮前,250 ,35.68063,139.78822
36,13102 ,中央区,日本橋浜町２－２４－８,"1,400,000 ",浜町,260 ,35.68594,139.78844
37,13102 ,中央区,築地３－９－１０,"2,190,000 ",築地,70 ,35.668,139.77298
38,13102 ,中央区,築地７－１０－１１,"1,440,000 ",築地,400 ,35.66614,139.77516
39,13102 ,中央区,銀座６－８－３,"30,700,000 ",銀座,150 ,35.6703,139.763
40,13102 ,中央区,銀座７－３－１４,"6,700,000 ",銀座,360 ,35.67041,139.76062
41,13102 ,中央区,銀座７－１１－１４,"7,800,000 ",銀座,400 ,35.66833,139.76357
42,13102 ,中央区,銀座２－６－７,"41,900,000 ",銀座一丁目,,35.67355,139.76711
43,13102 ,中央区,日本橋馬喰町１－４－１７,"2,650,000 ",馬喰町,,35.69281,139.78123
44,13103 ,港区,赤坂８－１１－３７,"4,100,000 ",乃木坂,130 ,35.66887,139.72795
45,13103 ,港区,六本木６－１－５,"4,070,000 ",六本木,90 ,35.66245,139.73135
46,13103 ,港区,西麻布３－１－１８,"2,810,000 ",六本木,400 ,35.66031,139.72656
47,13103 ,港区,元麻布３－１－３８,"2,250,000 ",六本木,520 ,35.6578,139.72849
48,13103 ,港区,西麻布３－１５－８,"1,680,000 ",六本木,850 ,35.65766,139.72527
49,13103 ,港区,六本木２－３－９,"4,890,000 ",六本木一丁目,200 ,35.66657,139.7379
50,13103 ,港区,麻布台３－４－１０,"2,850,000 ",六本木一丁目,450 ,35.65978,139.73868
51,13103 ,港区,新橋１－１８－１６,"12,300,000 ",内幸町,,35.66863,139.75584
52,13103 ,港区,港南２－１３－３７,"3,560,000 ",品川,380 ,35.62769,139.74519
53,13103 ,港区,南青山２－１４－１５,"2,120,000 ",外苑前,180 ,35.67023,139.7207
54,13103 ,港区,芝大門２－１１－１,"2,080,000 ",大門,220 ,35.65386,139.75356
55,13103 ,港区,南麻布５－１５－２５,"3,170,000 ",広尾,80 ,35.6511,139.72276
56,13103 ,港区,西新橋３－２３－５,"5,750,000 ",御成門,100 ,35.66172,139.75134
57,13103 ,港区,新橋５－１４－４,"4,130,000 ",新橋,480 ,35.66215,139.75638
58,13103 ,港区,芝浦３－１２－３,"2,350,000 ",田町,400 ,35.64252,139.74911
59,13103 ,港区,芝５－１３－１３,"3,250,000 ",田町,530 ,35.64929,139.74503
60,13103 ,港区,芝浦４－５－１６,"1,390,000 ",田町,800 ,35.64118,139.74561
61,13103 ,港区,白金台５－４－１４,"1,240,000 ",白金台,700 ,35.64179,139.72151
62,13103 ,港区,高輪１－９－５,"1,290,000 ",白金高輪,250 ,35.64208,139.73573
63,13103 ,港区,高輪１－２１－３,"1,420,000 ",白金高輪,500 ,35.63837,139.73401
64,13103 ,港区,海岸３－２２－３４,"995,000 ",芝浦ふ頭,200 ,35.64174,139.7572
65,13103 ,港区,虎ノ門１－１６－８,"3,540,000 ",虎ノ門,240 ,35.66849,139.74886
66,13103 ,港区,虎ノ門１－１－２１,"12,500,000 ",虎ノ門,,35.67029,139.75056
67,13103 ,港区,北青山３－５－３０,"25,700,000 ",表参道,50 ,35.66563,139.71277
68,13103 ,港区,南青山４－２６－１８,"1,740,000 ",表参道,560 ,35.66221,139.71814
69,13103 ,港区,南青山７－１３－５,"1,500,000 ",表参道,"1,100 ",35.65731,139.71715
70,13103 ,港区,赤坂２－１３－２３,"4,350,000 ",赤坂,90 ,35.67299,139.73819
71,13103 ,港区,赤坂３－１１－１９,"2,530,000 ",赤坂見附,220 ,35.67484,139.73734
72,13103 ,港区,東麻布１－１０－１２,"2,880,000 ",赤羽橋,260 ,35.65683,139.7446
73,13103 ,港区,東麻布１－１６－９,"1,370,000 ",赤羽橋,300 ,35.65669,139.7428
74,13103 ,港区,高輪３－５－１２,"1,220,000 ",高輪台,240 ,35.63366,139.73146
75,13103 ,港区,東麻布３－４－９,"1,390,000 ",麻布十番,160 ,35.65732,139.7374
76,13103 ,港区,麻布十番２－５－３,"2,690,000 ",麻布十番,300 ,35.65629,139.73352
77,13103 ,港区,六本木５－１３－１,"2,120,000 ",麻布十番,400 ,35.65881,139.73602
78,13104 ,新宿区,中落合２－８－９,"808,000 ",下落合,230 ,35.71704,139.69383
79,13104 ,新宿区,北新宿１－７－２０,"2,140,000 ",大久保,200 ,35.70047,139.69514
80,13104 ,新宿区,百人町２－２０－２１,"640,000 ",大久保,240 ,35.70239,139.69785
81,13104 ,新宿区,北新宿１－１２－１２,"965,000 ",大久保,270 ,35.70171,139.69394
82,13104 ,新宿区,西新宿１－１８－２,"19,000,000 ",新宿,170 ,35.68857,139.69807
83,13104 ,新宿区,新宿３－１８－５,"17,000,000 ",新宿,200 ,35.6923,139.70245
84,13104 ,新宿区,歌舞伎町１－１８－９,"6,960,000 ",新宿,340 ,35.69469,139.70158
85,13104 ,新宿区,西新宿２－６－１,"10,600,000 ",新宿,640 ,35.69202,139.69246
86,13104 ,新宿区,西新宿３－２－５,"5,520,000 ",新宿,640 ,35.68681,139.6936
87,13104 ,新宿区,西新宿７－１８－１９,"1,300,000 ",新宿,650 ,35.69614,139.69653
88,13104 ,新宿区,新宿３－３３－１０,"9,780,000 ",新宿三丁目,120 ,35.69019,139.70349
89,13104 ,新宿区,新宿５－１５－６,"2,980,000 ",新宿三丁目,420 ,35.69386,139.70714
90,13104 ,新宿区,新宿３－５－４,"17,900,000 ",新宿三丁目,,35.69144,139.70546
91,13104 ,新宿区,新宿１－３１－１６,"1,470,000 ",新宿御苑前,200 ,35.69028,139.71158
92,13104 ,新宿区,新宿１－３４－１５,"2,120,000 ",新宿御苑前,370 ,35.69125,139.71074
93,13104 ,新宿区,新宿１－４－１２,"3,480,000 ",新宿御苑前,,35.68831,139.71121
94,13104 ,新宿区,歌舞伎町２－１９－１３,"1,920,000 ",東新宿,200 ,35.69805,139.70451
95,13104 ,新宿区,新宿７－２２－１９,"582,000 ",東新宿,440 ,35.6997,139.71049
96,13104 ,新宿区,市谷甲良町１－５,"945,000 ",牛込柳町,230 ,35.69854,139.72807
97,13104 ,新宿区,若松町３３－９,"1,380,000 ",若松河田,300 ,35.70065,139.72044
98,13104 ,新宿区,戸山１－７－４,"624,000 ",若松河田,480 ,35.7024,139.71812
99,13104 ,新宿区,中落合３－２６－１８,"536,000 ",落合南長崎,350 ,35.72233,139.68626
100,13104 ,新宿区,西新宿７－２１－２２,"4,830,000 ",西新宿,190 ,35.6944,139.69498
101,13104 ,新宿区,北新宿２－１２－５,"554,000 ",西新宿,850 ,35.69942,139.68929
102,13104 ,新宿区,西新宿５－７－１,"1,900,000 ",西新宿五丁目,390 ,35.69212,139.68672
103,13104 ,新宿区,西早稲田２－２０－５,"1,550,000 ",西早稲田,,35.70935,139.70964
104,13104 ,新宿区,中落合１－１７－８,"730,000 ",西武中井,150 ,35.71546,139.6879
105,13104 ,新宿区,上落合３－２０－１５,"495,000 ",都営中井,400 ,35.71254,139.68323
106,13104 ,新宿区,揚場町２－１９,"1,980,000 ",飯田橋,200 ,35.70229,139.74271
107,13104 ,新宿区,東五軒町３－２８,"903,000 ",飯田橋,630 ,35.70587,139.73953
108,13104 ,新宿区,高田馬場４－８－４,"3,180,000 ",高田馬場,80 ,35.71358,139.70341
109,13104 ,新宿区,高田馬場１－２１－２１,"670,000 ",高田馬場,390 ,35.70951,139.70454
110,13104 ,新宿区,高田馬場２－８－４,"1,910,000 ",高田馬場,450 ,35.71219,139.70869
111,13104 ,新宿区,高田馬場３－２０－８,"562,000 ",高田馬場,800 ,35.71339,139.69804
112,13105 ,文京区,本駒込２－９－５,"945,000 ",千石,130 ,35.72732,139.74725
113,13105 ,文京区,千駄木１－１１－８,"890,000 ",千駄木,550 ,35.723,139.75894
114,13105 ,文京区,千駄木３－４０－２,"1,210,000 ",千駄木,,35.72629,139.76396
115,13105 ,文京区,小石川２－９－１３,"915,000 ",後楽園,270 ,35.71062,139.74911
116,13105 ,文京区,湯島１－１１－１０,"1,500,000 ",御茶ノ水,450 ,35.70276,139.76605
117,13105 ,文京区,西片１－１１－５,"1,050,000 ",春日,400 ,35.71382,139.75447
118,13105 ,文京区,小石川１－３－２１,"2,190,000 ",春日,,35.70947,139.75266
119,13105 ,文京区,本郷４－１－３,"2,020,000 ",本郷三丁目,120 ,35.70807,139.76077
120,13105 ,文京区,本郷５－１４－５,"845,000 ",本郷三丁目,600 ,35.71099,139.7579
121,13105 ,文京区,本駒込１－１６－５,"875,000 ",本駒込,460 ,35.72603,139.75079
122,13105 ,文京区,関口１－４４－５,"1,170,000 ",江戸川橋,230 ,35.70953,139.72868
123,13105 ,文京区,本駒込１－１－２８,"1,280,000 ",白山,180 ,35.72342,139.75352
124,13105 ,文京区,白山４－２８－１８,"847,000 ",白山,400 ,35.71984,139.74849
125,13105 ,文京区,小石川５－３－４,"1,530,000 ",茗荷谷,220 ,35.71666,139.73897
126,13105 ,文京区,大塚３－５－２,"1,270,000 ",茗荷谷,270 ,35.71962,139.73442
127,13105 ,文京区,小石川５－３３－６,"860,000 ",茗荷谷,560 ,35.72013,139.74057
128,13105 ,文京区,本駒込５－５６－１１,"670,000 ",駒込,470 ,35.73473,139.75201
129,13105 ,文京区,本駒込５－４－６,"1,240,000 ",駒込,550 ,35.73243,139.75023
130,13106 ,台東区,西浅草２－１３－１０,"1,190,000 ",つくばエクスプレス浅草,160 ,35.71236,139.79192
131,13106 ,台東区,三ノ輪１－２８－１０,"894,000 ",三ノ輪,60 ,35.72935,139.79156
132,13106 ,台東区,三ノ輪１－５－１,"497,000 ",三ノ輪,400 ,35.72707,139.7928
133,13106 ,台東区,下谷３－１４－４,"705,000 ",三ノ輪,480 ,35.72596,139.78745
134,13106 ,台東区,根岸５－１１－４,"532,000 ",三ノ輪,620 ,35.72675,139.78697
135,13106 ,台東区,上野６－１４－７,"8,540,000 ",上野,130 ,35.71129,139.77542
136,13106 ,台東区,上野５－１５－１３,"2,320,000 ",仲御徒町,180 ,35.70536,139.77567
137,13106 ,台東区,東上野１－７－１３,"1,070,000 ",仲御徒町,400 ,35.70768,139.77977
138,13106 ,台東区,下谷１－４－１０,"1,040,000 ",入谷,230 ,35.71846,139.78227
139,13106 ,台東区,松が谷３－１１－３,"586,000 ",入谷,620 ,35.71649,139.78671
140,13106 ,台東区,東浅草２－１７－１６,"391,000 ",南千住,850 ,35.725,139.80099
141,13106 ,台東区,清川２－２－６,"373,000 ",南千住,900 ,35.72641,139.80348
142,13106 ,台東区,元浅草１－６－１２,"1,000,000 ",新御徒町,110 ,35.70792,139.7829
143,13106 ,台東区,駒形１－４－１５,"1,100,000 ",浅草,190 ,35.707,139.79451
144,13106 ,台東区,浅草１－２９－６,"1,650,000 ",浅草,350 ,35.71215,139.79523
145,13106 ,台東区,浅草７－２－７,"629,000 ",浅草,740 ,35.716,139.80215
146,13106 ,台東区,浅草橋１－２７－４,"793,000 ",浅草橋,150 ,35.69812,139.78491
147,13106 ,台東区,柳橋１－６－２,"787,000 ",浅草橋,180 ,35.6962,139.78702
148,13106 ,台東区,浅草橋１－１８－１０,"2,270,000 ",浅草橋,,35.69761,139.78613
149,13106 ,台東区,寿１－１４－８,"562,000 ",田原町,360 ,35.70782,139.7892
150,13106 ,台東区,東上野３－３３－９,"1,570,000 ",稲荷町,,35.71111,139.78247
151,13106 ,台東区,蔵前２－４－５,"1,130,000 ",蔵前,,35.70272,139.79065
152,13106 ,台東区,根岸３－６－３,"736,000 ",鶯谷,290 ,35.72254,139.78023
153,13106 ,台東区,上野桜木１－１－５,"772,000 ",鶯谷,640 ,35.72138,139.77339
154,13107 ,墨田区,業平１－１８－１２,"941,000 ",とうきょうスカイツリー,150 ,35.70903,139.80896
155,13107 ,墨田区,向島３－１４－６,"446,000 ",とうきょうスカイツリー,350 ,35.71283,139.80792
156,13107 ,墨田区,京島３－２０－１０,"424,000 ",京成曳舟,600 ,35.71548,139.82463
157,13107 ,墨田区,文花３－２３－９,"432,000 ",小村井,80 ,35.71097,139.82841
158,13107 ,墨田区,押上３－１８－９,"367,000 ",押上,450 ,35.71214,139.81798
